"No.","Time","Source","Destination","Protocol","Length","Info"
"25","4.404473","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=176 Ack=2921 Win=93440 Len=0"
"26","4.404962","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=176 Ack=4381 Win=96512 Len=0"
"27","4.405022","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=176 Ack=4858 Win=99328 Len=0"
"28","4.427128","52.119.197.108","192.168.88.254","TCP","531","[TCP Spurious Retransmission] 443  >  46535 [PSH, ACK] Seq=4381 Ack=176 Win=28160 Len=477[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"29","4.430752","192.168.88.254","52.119.197.108","TCP","66","[TCP Dup ACK 27#1] 46535  >  443 [ACK] Seq=176 Ack=4858 Win=99328 Len=0 SLE=4381 SRE=4858"
"30","4.534379","192.168.88.254","52.119.197.108","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"31","4.561442","52.119.197.108","192.168.88.254","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"32","4.564146","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=302 Ack=4909 Win=99328 Len=0"
"33","5.026440","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"34","5.112941","04:95:e6:22:f8:61","01:80:c2:00:00:00","STP","52","Conf. Root = 32768/0/04:95:e6:22:f8:60  Cost = 0  Port = 0x8002"
"35","5.182763","192.168.88.254","52.119.197.108","TCP","1514","46535  >  443 [ACK] Seq=302 Ack=4909 Win=99328 Len=1460 [TCP segment of a reassembled PDU]"
"36","5.184878","192.168.88.254","52.119.197.108","TLSv1.2","1064","Application Data"
"37","5.215617","52.119.197.108","192.168.88.254","TCP","60","443  >  46535 [ACK] Seq=4909 Ack=2772 Win=33024 Len=0"
"38","5.235247","52.119.197.108","192.168.88.254","TLSv1.2","212","Application Data"
"39","5.237274","52.119.197.108","192.168.88.254","TLSv1.2","243","Application Data"
"40","5.271552","52.119.197.108","192.168.88.254","TCP","243","[TCP Retransmission] 443  >  46535 [PSH, ACK] Seq=5067 Ack=2772 Win=33024 Len=189"
"41","5.302822","192.168.88.254","52.119.197.108","TCP","1064","[TCP Spurious Retransmission] 46535  >  443 [PSH, ACK] Seq=1762 Ack=4909 Win=99328 Len=1010[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"42","5.304004","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=2772 Ack=5067 Win=99328 Len=0"
"43","5.304199","192.168.88.254","52.119.197.108","TCP","54","46535  >  443 [ACK] Seq=2772 Ack=5256 Win=102400 Len=0"
"44","5.305348","192.168.88.254","52.119.197.108","TCP","66","[TCP Dup ACK 43#1] 46535  >  443 [ACK] Seq=2772 Ack=5256 Win=102400 Len=0 SLE=5067 SRE=5256"
"45","5.330740","52.119.197.108","192.168.88.254","TCP","60","[TCP Dup ACK 37#1] 443  >  46535 [ACK] Seq=5256 Ack=2772 Win=33024 Len=0"
"46","6.020128","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"47","6.534613","192.168.88.254","52.119.197.108","TLSv1.2","392","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"48","6.606903","52.119.197.108","192.168.88.254","TCP","60","443  >  46535 [ACK] Seq=5256 Ack=3110 Win=35840 Len=0"
"49","7.020121","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"50","7.115091","04:95:e6:22:f8:61","01:80:c2:00:00:00","STP","52","Conf. Root = 32768/0/04:95:e6:22:f8:60  Cost = 0  Port = 0x8002"
"51","7.425868","192.168.88.239","176.32.101.52","TLSv1.2","351","Application Data"
"52","7.429330","192.168.88.239","176.32.101.52","TCP","1514","56710  >  443 [ACK] Seq=344 Ack=47 Win=2099 Len=1460 [TCP segment of a reassembled PDU]"
"53","7.429414","192.168.88.239","176.32.101.52","TCP","1514","56710  >  443 [ACK] Seq=1804 Ack=47 Win=2099 Len=1460 [TCP segment of a reassembled PDU]"
"54","7.429511","192.168.88.239","176.32.101.52","TCP","1514","56710  >  443 [ACK] Seq=3264 Ack=47 Win=2099 Len=1460 [TCP segment of a reassembled PDU]"
"55","7.429605","192.168.88.239","176.32.101.52","TCP","1514","56710  >  443 [ACK] Seq=4724 Ack=47 Win=2099 Len=1460 [TCP segment of a reassembled PDU]"
"56","7.429702","192.168.88.239","176.32.101.52","TCP","1514","56710  >  443 [ACK] Seq=6184 Ack=47 Win=2099 Len=1460 [TCP segment of a reassembled PDU]"
"57","7.429796","192.168.88.239","176.32.101.52","TLSv1.2","229","Application Data"
"58","7.435836","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"59","7.446447","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"60","7.450410","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=344 Win=32613 Len=0"
"61","7.454695","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=1804 Win=32590 Len=0"
"62","7.455068","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=7644 Win=32499 Len=0"
"63","7.457283","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=7819 Win=32496 Len=0"
"64","7.457342","192.168.88.239","176.32.101.52","TLSv1.2","412","Application Data"
"65","7.464253","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=8097 Win=32492 Len=0"
"66","7.467893","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"67","7.469208","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=8375 Win=32487 Len=0"
"68","7.478813","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"69","7.481156","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"70","7.484392","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=8733 Win=32482 Len=0"
"71","7.490128","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=8931 Win=32479 Len=0"
"72","7.491755","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"73","7.502119","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"74","7.502430","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=9129 Win=32474 Len=0"
"75","7.502689","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=9247 Win=32474 Len=0"
"76","7.512549","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"77","7.514934","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=9445 Win=32470 Len=0"
"78","7.525169","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=9723 Win=32466 Len=0"
"79","7.532157","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=10001 Win=32462 Len=0"
"80","7.546727","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"81","7.549179","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"82","7.549247","192.168.88.239","176.32.101.52","TLSv1.2","412","Application Data"
"83","7.554561","192.168.88.239","176.32.101.52","TLSv1.2","412","Application Data"
"84","7.565020","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"85","7.566341","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=10279 Win=32457 Len=0"
"86","7.571141","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=10557 Win=32448 Len=0"
"87","7.571259","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=10915 Win=32448 Len=0"
"88","7.575673","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"89","7.576031","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"90","7.577839","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=11273 Win=32442 Len=0"
"91","7.586301","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"92","7.588401","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=11471 Win=32439 Len=0"
"93","7.596454","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=11749 Win=32434 Len=0"
"94","7.596922","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"95","7.597293","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"96","7.600239","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=11867 Win=32433 Len=0"
"97","7.607517","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"98","7.607872","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"99","7.611280","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=12065 Win=32430 Len=0"
"100","7.618192","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"101","7.620181","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=12343 Win=32423 Len=0"
"102","7.620519","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=12461 Win=32423 Len=0"
"103","7.629672","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=12659 Win=32420 Len=0"
"104","7.630741","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"105","7.632247","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=12777 Win=32418 Len=0"
"106","7.638185","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=13055 Win=32414 Len=0"
"107","7.639649","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"108","7.652521","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=13333 Win=32410 Len=0"
"109","7.661347","192.168.88.239","176.32.101.52","TLSv1.2","332","Application Data"
"110","7.664721","192.168.88.239","176.32.101.52","TLSv1.2","412","Application Data"
"111","7.672564","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=13531 Win=32407 Len=0"
"112","7.681066","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"113","7.682300","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=13809 Win=32402 Len=0"
"114","7.691551","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"115","7.692448","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14167 Win=32397 Len=0"
"116","7.700306","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14285 Win=32395 Len=0"
"117","7.713416","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"118","7.713596","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"119","7.714221","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14403 Win=32393 Len=0"
"120","7.736264","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14521 Win=32391 Len=0"
"121","7.743063","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14639 Win=32389 Len=0"
"122","7.753255","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"123","7.774228","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14757 Win=32387 Len=0"
"124","7.783804","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"125","7.784411","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"126","7.804816","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"127","7.806024","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=14993 Win=32384 Len=0"
"128","7.825466","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"129","7.828935","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15111 Win=32382 Len=0"
"130","7.847842","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15229 Win=32380 Len=0"
"131","7.856527","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"132","7.867094","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"133","7.877524","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"134","7.880798","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15347 Win=32378 Len=0"
"135","7.893953","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15465 Win=32376 Len=0"
"136","7.902689","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15583 Win=32375 Len=0"
"137","7.918846","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"138","7.939546","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"139","7.939897","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15701 Win=32373 Len=0"
"140","7.950134","b8:69:f4:75:d3:a1","90:a8:22:04:73:81","ARP","60","Who has 192.168.88.239? Tell 192.168.88.1"
"141","7.951967","90:a8:22:04:73:81","b8:69:f4:75:d3:a1","ARP","42","192.168.88.239 is at 90:a8:22:04:73:81"
"142","7.961961","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=15899 Win=32370 Len=0"
"143","7.970287","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"144","7.995441","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16017 Win=32368 Len=0"
"145","8.001231","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"146","8.021913","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"147","8.024647","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16135 Win=32366 Len=0"
"148","8.040466","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"149","8.051973","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16333 Win=32363 Len=0"
"150","8.083863","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"151","8.086218","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"152","8.106065","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16451 Win=32361 Len=0"
"153","8.107857","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16649 Win=32358 Len=0"
"154","8.114643","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"155","8.135366","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"156","8.139403","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16767 Win=32356 Len=0"
"157","8.155833","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"158","8.161948","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=16885 Win=32354 Len=0"
"159","8.176548","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"160","8.181676","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17003 Win=32352 Len=0"
"161","8.204267","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17201 Win=32349 Len=0"
"162","8.207324","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"163","8.227922","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"164","8.229999","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17319 Win=32347 Len=0"
"165","8.253960","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17437 Win=32346 Len=0"
"166","8.259188","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"167","8.269362","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"168","8.286141","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17555 Win=32344 Len=0"
"169","8.290188","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"170","8.300068","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17673 Win=32342 Len=0"
"171","8.310443","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17791 Win=32340 Len=0"
"172","8.311697","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"173","8.332395","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"174","8.332539","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=17909 Win=32338 Len=0"
"175","8.352770","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18027 Win=32336 Len=0"
"176","8.383831","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"177","8.384039","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"178","8.405592","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"179","8.409096","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18263 Win=32333 Len=0"
"180","8.416199","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"181","8.426845","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"182","8.427848","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18381 Win=32331 Len=0"
"183","8.440572","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18499 Win=32329 Len=0"
"184","8.449471","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18617 Win=32327 Len=0"
"185","8.449958","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"186","8.470696","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18735 Win=32325 Len=0"
"187","8.478487","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"188","8.499240","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"189","8.500366","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=18853 Win=32323 Len=0"
"190","8.520795","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19051 Win=32320 Len=0"
"191","8.530185","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"192","8.558719","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19169 Win=32319 Len=0"
"193","8.571034","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"194","8.591779","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"195","8.595207","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19367 Win=32315 Len=0"
"196","8.612551","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"197","8.613038","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19485 Win=32314 Len=0"
"198","8.632732","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19603 Win=32312 Len=0"
"199","8.643642","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"200","8.664489","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19721 Win=32310 Len=0"
"201","8.685435","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"202","8.685755","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"203","8.685814","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"204","8.708773","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19839 Win=32308 Len=0"
"205","8.713494","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=19957 Win=32304 Len=0"
"206","8.713951","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20075 Win=32304 Len=0"
"207","8.715779","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"208","8.737560","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"209","8.739700","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20193 Win=32303 Len=0"
"210","8.747106","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"211","8.759925","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20311 Win=32301 Len=0"
"212","8.767685","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"213","8.770856","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20429 Win=32299 Len=0"
"214","8.790045","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"215","8.798842","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20547 Win=32297 Len=0"
"216","8.819337","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"217","8.820376","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20665 Win=32295 Len=0"
"218","8.839806","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"219","8.840234","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20783 Win=32293 Len=0"
"220","8.862036","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=20981 Win=32290 Len=0"
"221","8.870568","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"222","8.894513","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"223","8.902774","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=21099 Win=32288 Len=0"
"224","8.922250","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"225","8.923959","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=21217 Win=32287 Len=0"
"226","8.942273","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=21415 Win=32283 Len=0"
"227","8.978822","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"228","8.994204","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"229","9.000345","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=21613 Win=32280 Len=0"
"230","9.021886","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=21811 Win=32277 Len=0"
"231","9.040176","b8:69:f4:75:d3:a1","ff:ff:ff:ff:ff:ff","ARP","60","Who has 192.168.88.237? Tell 192.168.88.1"
"232","9.046519","192.168.88.239","176.32.101.52","TLSv1.2","252","Application Data"
"233","9.067108","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"234","9.069988","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=22009 Win=32274 Len=0"
"235","9.089851","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=22127 Win=32272 Len=0"
"236","9.100012","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"237","9.113025","04:95:e6:22:f8:61","01:80:c2:00:00:00","STP","52","Conf. Root = 32768/0/04:95:e6:22:f8:60  Cost = 0  Port = 0x8002"
"238","9.118766","192.168.88.239","176.32.101.52","TLSv1.2","172","Application Data"
"239","9.124110","176.32.101.52","192.168.88.239","TCP","60","443  >  56710 [ACK] Seq=47 Ack=22245 Win=32270 Len=0"
